;; -*- coding:utf-8 -*-
[Comment]

[Parameter]
first-char=zyxwvutsrqponmlkjihgfedcba
total-char=;'abcdefghijklmnopqrstuvwxyz
lib=cyim-cy
page-length=8

[Punctuation]
{ 『
phsf 配上
phsh 飘散
phsi 配色
phsj 飘逝
phsl 配合饲料
phsp 配膳
phsq 飘闪
phss 配售
phst 配送 票数 破坏生态
phsv 聘书
phsy 配合使用
pht; 皮划艇 蒲黄炭
phtc 配台
phtd 配图
phtj 票提 破坏团结
phtm 配套
phts 配体
phtw 票头
phu 配
phvm 配有
phvs 配偶
phvw 配额 票额 飘安
phvx 破坏偶像
phw; 澎湖湾
phwd 票网 配网
phwi 票务
phwo 飘舞
phwp 飘往
phwq 聘问
phwr 配文
phws 配伍
phwt 聘为
phwy 蓬户瓮牖
phx; 破坏性
phxc 配戏
phxd 破坏性的
phxh 飘下
phxj 飘雪
phxl 配型
phxn 飘絮
phxo 票选 飘香 票箱 聘选
phxr 配享
phxs 配信
phxv 配线
phxw 配穴
phxy 飘向
phy; 贫化铀
phya 飘叶
phyc 配以
phyd 飘曳
phyf 票样
phyg 配药
phyh 飘雨
phyi 聘用 配乐 飘逸 瓢饮
phyj 飘扬
phyk 配影
phyl 飘云
phym 票友
phyo 飘移
phyq 破获一起
phyr 配音
phys 飘悠
phyv 聘约
phyx 配院
phz' 撇横折点竖
phz; 破坏者 徘徊在
phzb 飘展
phzd 配置
phze 票证
phzh 配载
phzk 飘至 飘转
phzl 配合治疗
phzm 飘在
phzn 聘召
phzo 配制
phzr 配准
phzs 票值 迫害致死
phzt 飘着
phzu 飘走
phzw 配字
phzx 票子
phzz 平衡装置
pi 刨
pia 刨
picx 刨除
pidn 刨刀
pie 逄
piei 鳑
pifi 匍匐
pifs 匍伏
pifu 刨分 刨坟
pigf 刨根
pigs 刨个
pihg 刨花
pii 鲆
piia 匍
piio 狉
piku 刨坑
pio 狍
piqu 刨去
piss 刨食
pitu 刨土
pizx 狍子
pj 拍
pja 平
pjae 扑
pjai 排
pjb' 贫贱不能移 破解版下载
pjb; 破解版 普及版 普及本
pjba 拍吧
pjbc 片甲不存
pjbe 拍扁
pjbf 平板 拍板 捧杯 平辈 拼板 拍柄
pjbg 判决被告
pjbh 片甲不回
pjbj 拼搏
pjbk 排比
pjbl 排班 片甲不留
pjbm 排布
pjbn 批办
pjbo 排笔
pjbs 排便
pjbu 平坝
pjbv 批驳
pjby 排版 扑鼻 平白 拼版 平版 贫贱不移
pjbz 评价标准
pjc; 配件厂
pjca 扑哧
pjcb 平尺
pjcc 旁见侧出
pjcd 平畴 破茧成蝶
pjcf 排查
pjcg 扒草
pjch 拼刺
pjci 披猜
pjcj 拼插
pjck 拼车
pjcl 平均产量
pjcm 拍成 排成 拼成 平成 批成
pjco 披垂
pjcp 排斥
pjcr 拼凑 批次 平产
pjcs 平常
pjcu 捧场 排场 平城
pjcx 排除 排出 拍出 抛出 扑出 拼出 批出 捧出
pjcy 拍错 拼错 平川 破镜重圆 瓶颈产业
pjd' 票据打印机
pjd; 啤酒肚 普及度 平静的 僻静的
pjda 扑跌
pjdb 排弹
pjdc 平淡
pjdd 扑蝶
pjde 拼读 捧读 平调 披读
pjdf 拍档
pjdh 平顶
pjdj 拍打
pjdk 拍到 排到 扑到 抛到 平旦 平静地看
pjdl 排毒
pjdo 平等
pjdp 拍得
pjdq 平均地权
pjdr 平度
pjds 扑倒
pjdt 拼单
pjdu 平地
pjdw 批斗
pjdx 排队
pjdy 拍的
pje 拼
pjee 霈
pjei 掊 搒
pjeo 撇
pjf' 平均分子量 贫贱夫妻百事哀
pjf; 平均分
pjfb 抛费
pjfc 拼法
pjfe 平房
pjfi 平凡 披风 排风
pjfj 平抚
pjfn 批发
pjfo 平复
pjfp 捧腹
pjfq 贫贱夫妻
pjfr 平方 排放 平放
pjfs 平伏 评价方式
pjft 扑粉
pjfu 平分
pjfv 拼缝
pjfw 评价范围
pjg; 票价格
pjga 捧哏
pjgb 批改
pjgc 排灌
pjgd 排骨
pjgg 平菇
pjgh 拍过
pjgj 披挂
pjgl 拍干
pjgm 颇具规模
pjgo 拼管
pjgp 平肝
pjgr 平高
pjgs 拍个 抛光 拍光 平光
pjgt 平关
pjgu 平谷
pjgv 抛给
pjgy 平锅
pjgz 平均工资
pjh; 啤酒花 普及化
pjha 排号 批号 撇号
pjhb 平均海拔
pjhc 平滑
pjhd 捧回
pjhe 平话
pjhf 批核
pjhg 抛荒
pjhh 平巷
pjhn 拍好
pjho 平和
pjhp 平衡 排行 平后 排后
pjhs 拼合 批货 排华 拍合
pjht 扑火
pjhv 平缓
pjhw 披怀
pjhy 平毁
pji 批
pjie 抨
pjii 捧
pjio 抔
pjiu 雱
pjj; 平均奖 啤酒节
pjja 排距
pjjb 平局
pjjc 扒鸡
pjjd 披甲
pjje 披肩
pjjf 排检
pjjg 平均价格
pjjh 扑救
pjji 排解 平角 捧角
pjjj 排挤 拼接 排拒 抛接
pjjl 平静 抨击 抛进 拍击 扑击 扑进 排击
pjjm 啤酒酵母
pjjn 排架
pjjp 扑街
pjjr 拼将 抛将 平交 平靖 贫贱骄人
pjjs 平价 批件 批价 平假 披件 批假 平静接受
pjjt 批卷
pjju 平均
pjjv 平级
pjjx 平降
pjjy 普及教育
pjjz 评价机制
pjk; 皮夹克
pjka 排口
pjke 排课
pjkh 扑克
pjkk 平旷
pjkl 抛开 撇开 排开 扒开 平开 普及开来
pjkq 平阔
pjku 排块
pjkw 排空 扑空 拼客 拍客 平空 抛空
pjl' 平均利润率
pjl; 潘金莲 破纪录 普及率 平均率 彭加勒
pjla 平路
pjlb 拍录
pjlc 排涝
pjld 平罗
pjlf 扑棱
pjlg 抛落
pjlh 排联
pjli 排卵
pjlj 披露 霹雳 排雷 霹雷 扒拉 批零 扑来 批露 拼拢 拍来 抛来
pjlk 批量 排量 平量
pjlm 排列
pjln 拼力
pjlo 平乱
pjlp 排律
pjlr 抛离
pjlt 平炉
pjlv 排练
pjlw 平寮
pjlx 拍了 拼了 平陆 平了 批了 排了 披了 破旧立新 铺锦列绣
pjm' 平均每年增长
pjm; 片假名 平假名
pjmb 平民
pjmc 扑满
pjmd 平静面对
pjmh 拍卖
pjmi 排名 扑灭
pjmk 平明
pjmm 平面 排面 扑面 拍面 平码
pjmn 平均每年
pjmp 平脉
pjmq 拍门
pjmr 披靡
pjms 拼命
pjmt 平米 平煤 平均每天
pjmu 拍买
pjmv 拍马
pjmx 评价模型
pjmy 抛锚
pjn' 贫居闹市无人问 贫居闹市无人问富在深山有远亲
pjn; 陪酒女
pjnb 排尿
pjnc 排难
pjnh 平南
pjnj 撇捺
pjnl 平均年龄
pjno 平年
pjnp 排脓
pjnq 泡椒泥鳅
pjnr 评价内容
pjnw 平宁
pjny 破镜难圆
pjo 抛 拍
pjoe 扒
pjp; 迫击炮 啤酒瓶
pjpa 拍品
pjpb 拍屏
pjpc 跑进跑出
pjpe 批评
pjpf 排频
pjph 拼配
pjpj 拍拍 平平 平抛 排排 拍平 平拍 扑扑 批批 拼拼
pjpp 拼盘
pjpt 批判
pjpy 拍片 平铺 排片 拍牌
pjpz 啤酒瓶子
pjq; 潘集区 蓬江区 平江区 瓶颈期
pjqc 撇清
pjqd 排遣
pjqf 平权
pjqg 爬进去过
pjqh 排期
pjqj 拼抢
pjqk 抛妻
pjql 排球 抛球 拍球 拼尽全力
pjqo 排气
pjqr 抛弃
pjqt 排前
pjqu 抛去 排起 捧起 抛却 撇去 拍去 扑去 抛起 排去
pjqw 扒窃
pjqy 平泉
pjr' 平均日产量
pjrd 判决认定
pjrj 抛扔
pjrk 平日
pjrq 判决日期
pjrs 平人
pjru 平壤 排入 抛入 扑入
pjrv 平绒
pjrx 判决如下
pjry 评价人员
pjs' 帕金森综合症
pjs; 判决书 平均数 帕金森 盘锦市
pjsa 排哨
pjsb 抛尸 平刷 排刷 帕金森病 啤酒设备
pjsc 排水
pjsd 平山
pjse 平视
pjsf 披上
pjsg 披萨
pjsh 披散
pjsj 拍摄 平手 拍手 扒手 抛撒 撇手 破军杀将
pjsk 平时
pjsl 批示 平素
pjsm 拼死
pjso 平生
pjsp 平均水平
pjsq 扑闪
pjsr 平均收入
pjss 抛售
pjst 扑朔
pjsu 拼杀 扑杀 捧杀 平声
pjsw 平实
pjsx 判决生效
pjsy 平顺 抛射 平射 平身 排射
pjsz 帕金森症
pjtb 抨弹
pjtc 平台 平添 扑通 平潭 平通
pjtd 拼图 拼团 拼贴
pjte 排调
pjti 批条
pjtj 平摊 拍拖 抛投 捧托 判决条件
pjtl 否极泰来
pjtp 扑腾
pjtr 排痰
pjts 排他
pjtu 平坦
pjtw 平头
pjtx 平粜 评价体系
pjty 平躺
pju 披
pjue 拚
pjui 霹 擗
pjv; 皮筋儿
pjva 拍啊
pjvc 破茧而出
pjvd 拍岸
pjvi 平儿
pjvj 判决案件
pjvs 排偶
pjvw 平安 拍案
pjw; 潘基文
pjwb 排尾
pjwc 排污
pjwd 平网 平均温度
pjwi 排外
pjwj 炮舰外交
pjwk 平卧
pjwl 平武
pjwo 平稳
pjwr 批文
pjws 排位
pjwv 平纹
pjww 拍完
pjx' 普济消毒饮
pjx; 普及型
pjxa 拍响
pjxb 拍弦
pjxc 拍戏 排泄 排戏
pjxe 拼写
pjxf 平均消费
pjxh 拍下 撇下 抛下 拍醒 平西 批下 平昔
pjxk 捧星
pjxl 破家县令 平静下来
pjxm 评价项目
pjxn 评价性能
pjxo 排箫
pjxp 平行
pjxr 排序
pjxs 平信
pjxt 评价系统
pjxv 排线
pjxx 排险
pjxy 平息 扑向 抛向 平销 批销 普降喜雨
pjy' 颇具影响力
pjy; 皮肌炎
pjya 平邑
pjyb 排异
pjyc 排演
pjyd 平邮
pjye 批语
pjyf 排椅
pjyi 拍一
pjyj 平抑
pjyk 平易
pjyl 平远
pjym 平原
pjyo 平移
pjyp 平月
pjyq 批阅
pjyr 拼音 平庸 披衣 抛意
pjyt 排烟
pjyu 平遥
pjyw 排忧
pjyx 平阳
pjyy 平舆
pjz' 破家值万贯 平均增长率 平均增长速度
pjz; 凭借着 平均值 皮夹子
pjza 撇嘴
pjzb 平展
pjzc 批注
pjzd 评价制度
pjzf 拍桌 排桌 排桩 平均涨幅
pjzh 平整
pjzi 拼争
pjzj 抛掷 撇折 拼攒 披荆斩棘 贫贱之交 凭借自己
pjzk 拍照
pjzm 排在 拍砖 抛砖 平仄 扑在 抛在 披在 捧在 平在 批在 拍在 撇在
pjzo 排长
pjzr 批准 平装 拼装 平准 排座 平章 平庄 披坚执锐
pjzs 拍掌
pjzt 披着 捧着 拍着 排着 拼着 撇着
pjzu 捧走
pjzv 拼缀
pjzw 排字
pjzx 拍子
pjzy 排钟 平均主义 平津战役
pjzz 平均增长
pk 匹
pka 曝
pkau 叵
pkb; 派克笔
pkbz 贫困标准 贫困补助
pkcc 叵测
pkcx 凭空出现
pkd; 贫困的
pkdm 破口大骂
pkdo 匹敌
pkdq 贫困地区
pkfl 匹夫
pkgf 片刻功夫
pkgj 贫困国家
pkgs 曝光
pkh; 贫困户 贫困化
pki 暴
pkj; 片刻间
pkjj 贫困交加
pkjt 贫困家庭
pkkh 匹克
pkkp 平开开盘
pkl; 扑克脸
pkld 贫困潦倒
pklh 贫困落后
pkli 匹狼
pklj 曝露
pklv 匹练
pkmv 匹马
pknm 叵耐
pknz 凭空捏造
pko 匹
pkp; 扑克牌
pkph 匹配
pkpl 怕苦怕累
pkq; 浦口区 皮卡丘
pkr; 陪客人
pkrk 贫困人口
pkrz 皮开肉绽
pks; 贫困生
pksg 匹萨
pksh 贫困生活
pksk 暴晒
pksq 贫困山区
pkst 匹数
pkv; 赔款额
pkvc 破壳而出
pkvt 贫困儿童
pkwt 贫困问题
pkx; 贫困县 贫困线
pkxx 凭空想象
pky; 偏口鱼
pkyh 匹亚
pkyx 扑克游戏
pkyz 凭空臆造
pkz' 破裤子缠腿
pkz; 贫困者
pkzg 贫困职工
pkzj 片刻之间
pl 耙
pla 璞
plb; 配料表
plbc 纰漏百出
plbk 破烂不堪
plbt 拍了半天
plc; 平流层 普利策
plcf 破浪乘风
plcg 批量采购
plcj 普利策奖 批零差价
plcl 批量处理
plcr 皮里抽肉
plcy 频率采样
plcz 批量操作
pld; 普兰店 漂亮的 疲劳的 评论的
pldn 普拉蒂尼
pldq 赔礼道歉
pldr 批量导入
plds 普兰店市
pldu 耙地
pldz 普罗大众
ple 耪
plf' 赔了夫人又折兵
plff 攀龙附凤
plfl 频率分量
plfs 排列方式
plfz 叛乱分子
plg' 批量挂账户
plg; 蓬莱阁 平炉钢 疲劳感
plgd 疲劳过度 披露肝胆
plgk 扑了个空
plgl 跑了过来
plgm 批量购买
plgn 漂亮姑娘
plgq 扑了过去
plgz 披露工作
plh' 怕柳花轻薄 跑了和尚跑不了庙
plh; 漂亮话 破烂货 霹雳火
plhj 平流缓进
plhk 批量汇款
pli 琵
plie 玶
plj; 评论家 评论界 普乐街
pljj 批量解决
pljl 破了纪录
pljm 排列紧密
pljs 疲劳驾驶
pljv 帕利基尔
pljx 疲劳极限
pljz 拍了几张
plk; 普朗克
plkk 批量扣款
plky 普鲁卡因
pll; 偏离了 噗噜噜
plld 破烂流丢
pllm 拼了老命
pllz 拍了两张
plm' 帕拉马里博 普罗米修斯
plm; 婆罗门 普拉姆
plmj 婆罗门教
plmm 漂亮美眉 漂亮妹妹
plms 普利茅斯
plnh 漂亮女孩
plnr 漂亮女人
plns 漂亮女生
plnz 漂亮女子
plo 珀
plou 珮
plp; 拍了拍 漂流瓶
plpf 烹龙炮凤
plpk 批林批孔
plpl 琵琶 噼里啪啦 劈里啪啦
plpq 跑来跑去 飘来飘去 痞里痞气 爬来爬去 抛来抛去
plps 拍了拍手
plpt 普罗帕酮
plpz 撇了撇嘴
plq; 评论区 排卵期 盘龙区
plqd 疲劳强度
plqj 破浪前进
plr; 排卵日
plrm 频来入梦
plrw 评论认为
pls' 破历史最高纪录
pls; 普鲁士 泼冷水 铺路石 蓬莱市 平凉市 派力司
plsc 批量生产
plsd 普林斯顿
plsh 珀斯
plsl 普莱斯利 扑了上来
plsq 扑了上去
plsr 普鲁士人
plst 普鲁斯特
plt; 跑龙套 帕累托 爬楼梯
pltj 批量提交 爬罗剔抉
plto 珀特
pltw 凭栏眺望
plu 琶 耙
plw; 霹雳舞 篇论文
plwh 盘龙卧虎
plws 普罗旺斯
plwz 评论文章
plxb 普林西比
plxd 蓬莱仙岛 批量下单
plxj 漂亮小姐 蓬莱仙境
plxn 漂亮小妞
plxs 凭良心说 漂亮潇洒
plxy 频率响应
plxz 批量下载
ply' 评论员文章 碰了一鼻子灰
ply; 评论员 普拉亚 彭丽媛 破裂音
plyf 漂亮衣服
plyl 璞玉
plyq 皮里阳秋
plyr 琵音
plys 霹雳一声
plyt 凭栏远眺
plyw 凭栏远望
plyx 漂亮一些
plyy 瞟了一眼
plyz 拍了一张
plz; 婆罗洲
plzc 琶洲
plzd 披露制度
plzg 频率最高
plzh 排列组合
plzl 批量指令
plzx 耙子
plzz 蒲柳之姿
pm 破
pma 否
pmb' 屏幕保护膜
pmb; 平面波 排名榜
pmba 破吧
pmbb 碰壁
pmbd 破败
pmbf 碰杯
pmbh 屏幕保护 蓬门荜户 蓬门筚户
pmbm 磅礴 破布 盆满钵满
pmbr 破冰
pmbx 平民百姓
pmbz 平脉辨证
pmc; 跑马场
pmcc 屏幕尺寸
pmcd 破财
pmci 碰触
pmck 破车
pmcl 怕买错了
pmcm 破残
pmcp 破船
pmcr 破产 碰瓷
pmcs 碰仓
pmcw 破窗
pmcx 破除
pmcy 破钞
pmcz 品貌出众
pmd' 喷墨打印机
pmd; 片面的 跑马灯
pmdc 破洞
pmdd 屏幕顶端
pmde 破读
pmdf 破门得分
pmdg 拼命地干
pmdj 破掉 碰掉 披毛戴角
pmdk 碰到
pmdl 跑冒滴漏
pmdp 破胆
pmdq 匹马单枪
pmds 碰倒
pmdu 砰地
pmdv 排名第二
pmdx 破蛋 披麻戴孝 披麻带孝 匹马当先
pmdy 破的
pme 碰
pmei 磅
pmf' 屏幕分辨率
pmf; 怕麻烦 拍卖法 铺面房 平民愤
pmfb 破费
pmfi 破风
pmfk 拼命反抗
pmfn 破发
pmfp 硼肥
pmfu 碰翻
pmfx 破防
pmg; 泡蘑菇
pmgb 屏幕关闭
pmgf 破格
pmgg 平面广告
pmgh 碰过
pmgo 破罐
pmgp 破瓜
pmgs 拍卖公司
pmgt 破关
pmgu 破鼓
pmh; 拍卖会 平民化 拍卖行
pmhg 破获
pmhs 拍卖会上
pmhu 破坏
pmhx 破孩
pmhy 拍卖行业
pmi 砰
pmii 丕
pmiu 砒
pmj; 平面镜 平面角
pmja 破旧
pmjb 破局
pmjc 碰劲
pmjd 碰见
pmje 破军
pmjg 破茧
pmjh 丕基 平面几何
pmji 破解
pmjj 泡沫经济
pmjk 破戒
pmjl 碰击
pmjp 屏幕键盘
pmjw 破家
pmjy 破镜 拍卖交易
pmjz 票面价值
pmk; 贫民窟
pmka 破口
pmkc 破溃
pmkh 排名靠后
pmkl 破开
pmkq 排名靠前
pmku 破壳
pmkw 破空
pml; 庞麦郎
pmlc 破浪
pmlf 破楼
pmlg 破落
pmlh 牝牡骊黄
pmlj 碰雷
pmlm 破裂
pmlp 破脸
pmls 破例
pmlt 破烂
pmlx 破了
pmly 破锣
pmm; 跑买卖
pmmd 破帽
pmmi 破灭
pmmm 碰面
pmmq 破门
pmmr 破庙
pmmw 破密
pmmx 跑马卖解
pmmy 铺眉蒙眼
pmnc 破难
pmnj 拍马难及
pmo 硼
pmoe 殍
pmou 匏
pmp; 拍马屁
pmpm 碰碰
pmpn 破皮
pmpy 破片
pmq; 贫民区 排名前
pmqd 破圈
pmqh 碰巧
pmqk 排名情况
pmql 碰球
pmqo 破千 破气 破缺
pmqr 破弃
pmqt 破拳
pmqu 破去
pmr; 拍卖人
pmri 砰然
pmrs 破人
pmry 缥缈如云
pms' 平面设计师
pms; 屏幕上 拍卖师 排名赛
pmsf 碰上
pmsh 破事
pmsj 破损 砒霜 平面设计
pmsl 泡沫塑料 拼命三郎
pmsm 破碎
pmsp 拍卖商品
pmsr 拍卖收入
pmss 碰伤
pmsv 破书
pmsy 破身
pmt; 平面图 剖面图
pmtc 破涕
pmtk 破题
pmtl 破天
pmtn 碰她
pmts 碰他
pmtu 破土
pmtw 碰头
pmty 硼铁
pmu 邳 破
pmv' 帕米尔高原
pmv; 帕米尔 破谜儿
pmvc 破门而出
pmvl 扑面而来
pmvr 破门而入
pmvw 破案
pmw; 拍卖网
pmwb 破屋
pmwd 破网
pmwg 盘马弯弓
pmwh 破五
pmwk 破万
pmwm 破碗
pmwo 碰我
pmwr 破亡
pmws 破位
pmwx 平民文学
pmwz 拍卖网站
pmx' 平明寻白羽
pmx; 片面性 剖面线
pmxd 邳县
pmxe 丕训
pmxf 破相
pmxh 破鞋
pmxk 破晓
pmxm 破袭
pmxy 破血
pmy; 抛媚眼 片麻岩
pmyb 屏幕右边
pmye 破译
pmym 碰硬
pmyp 破月
pmyr 破音
pmys 破亿
pmyv 破约
pmyw 破窑
pmz; 普米族
pmza 破嘴
pmzb 屏幕左边
pmzd 旁门左道
pmzf 破马张飞
pmzj 碰撞
pmzm 碰在
pmzo 破竹
pmzq 片面追求
pmzr 破站
pmzt 碰着
pmzv 破绽
pmzw 破字
pmzx 破阵
pmzz 拼命挣扎
pn 皮
pna 娉
pnbf 皮板
pnbg 皮薄
pnbh 皮鞭
pnbi 皮包
pnbm 颇不
pnbr 皮瓣
pnc; 匹诺曹
pncb 皮层
pncd 朴讷诚笃
pncg 皮草
pncl 怕弄错了
pncn 嫖娼
pnco 颇长
pncp 皮船
pncs 嫔从
pnd' 凭你的经验
pnd; 拍脑袋
pndd 嫖赌
pndh 皮带
pndi 颇多
pndj 皮垫
pndm 颇大
pndp 颇得
pnds 皮袋
pndx 皮蛋
pndy 皮的
pne 嫔 皮
pneo 姘
pnfb 颇费
pnfi 颇负
pnfl 颇丰
pnfn 嫔妃
pnfo 皮筏
pnfp 皮肤
pnfw 颇富
pngh 皮革
pngj 陪你逛街
pngk 皮辊
pngm 颇感
pngo 皮管
pngr 颇高
pnhg 皮花
pnhh 皮黄
pnhi 皮猴
pnhm 皮厚
pnhn 颇好
pnhs 皮货
pnht 怕你害他
pnhw 怕你害我
pni 嫖
pnio 颇
pnjb 姘居
pnjd 颇具
pnjf 排难解纷
pnjj 皮夹
pnjk 皮匠
pnjn 嫖妓
pnjo 皮筋
pnjp 皮胶
pnjs 颇佳
pnjw 颇觉
pnjy 皮钧 排难解忧
pnka 皮口
pnke 皮裤
pnkf 皮卡
pnkh 皮克
pnku 皮壳
pnkw 嫖客
pnkx 皮孔
pnkz 普那卡宗
pnlp 皮脸
pnls 颇令
pnlt 皮料
pnlv 普萘洛尔
pnmd 皮帽
pnmf 皮棉
pnmm 皮面
pnmo 皮毛
pnmp 皮膜
pnmt 媲美
pnn; 凭你那
pnnc 颇能
pnnd 皮内
pnnh 皮囊
pnnn 皮嫩
pno 媲
pnpe 皮袍
pnpg 皮蓬
pnpn 皮皮
pnpy 皮片
pnqb 颇强
pnqd 皮圈
pnqe 皮裙
pnqh 皮鞘
pnql 皮球
pnr; 胖女人
pnrd 皮肉
pnre 颇让
pns; 普宁市
pnsb 陪你上班
pnsc 颇深
pnsd 皮山
pnse 皮试
pnsg 颇少
pnsj 皮损
pnsk 颇是
pnss 颇似
pnst 皮数
pnsu 颇受
pnsv 皮书
pnsw 皮实
pntd 排脓托毒
pnti 皮条
pntm 皮套
pntn 娉婷
pnto 皮特
pntp 皮艇
pntt 皮糖
pntw 姘头
pntx 睥睨天下
pnu 妃
pnve 皮袄
pnvi 皮尔
pnvm 颇有
pnvn 嫔娥
pnw; 陪你玩
pnwl 怕你忘了
pnwm 皮碗
pnwq 怕难为情
pnwt 颇为
pnwv 皮纹
pnxb 皮屑
pnxf 皮相
pnxh 皮鞋 皮下 皮靴
pnxk 颇显
pnxl 盘尼西林
pnxm 皮硝
pnxo 皮箱
pnxr 皮癣
pnxs 颇像
pnxv 皮线
pnxw 叛逆行为
pnya 皮业
pnyf 皮椅
pnyh 皮耶
pnyk 皮影
pnyq 陪你一起 睥睨一切
pnyr 皮衣
pnyt 皮炎
pnyy 陪你一夜
pnz; 叛逆者 皮内针 陪你走
pnzb 皮张
pnzo 皮制
pnzp 皮质
pnzr 皮疹
pnzv 皮纸
pnzx 皮子
pnzy 陪你左右
po 篇
poa 穙
pobm 篷布
pock 篷车
pocp 篷船
pody 篇牍
poe 氆 篇
poeu 犏
pofd 篇幅
poi 筢
poia 馞
poiu 笸
polo 笸箩
polr 牝鹿
pomd 篇目
pomi 篇名
poml 篇末
pomo 牝牡
pomv 牝马
pomx 篇眉
pono 牝牛 犏牛
poo 篷
pooo 氕
poou 牝
popo 篇篇
poss 篇什
post 篇首
pou 繁
poym 篇页
pozd 篇中
pozr 篇章
pozx 篷子
pp 盘
ppa 徘 盘
ppb; 跑跑步
ppbb 盘剥 蓬蓬勃勃 琵琶别抱
ppbf 朋辈
ppbs 偏旁部首
ppbx 偏偏不信
ppbz 评判标准
ppc; 碰碰车
ppcb 胚层
ppcc 平平常常
ppcd 爬虫
ppcf 盘查
ppcg 盘菜
ppck 爬车
ppcl 品牌策略
ppcm 胖成
ppco 鹏程
ppcp 品牌产品
ppcr 胖次
ppcs 盘仓
ppcu 鹏城
ppcv 盘缠
ppcw 爬窗
ppcx 爬出
ppcy 盘错
ppd; 婆婆丁 胖胖的 批评的 品牌的 频频地 蓬皮杜
ppda 盘跌
ppdd 平平淡淡 飘飘荡荡 跑跑颠颠 平平当当 拍拍打打
ppdf 盘点
ppdg 飘蓬断梗
ppdh 盘带
ppdk 爬到
ppdl 爬动 铺平道路
ppdm 膨大
ppdn 品牌电脑
ppdp 胖得
ppdq 偏僻地区
ppdr 盘底
ppds 朋党
ppdt 盘道 频频点头
ppdu 胖墩
ppdw 品牌定位
ppdy 胖的 爬的 盘的 瓢泼大雨
ppdz 品牌打造
ppe 胖
ppei 彷 膀
ppeo 胼
ppf' 频谱分析仪
ppfb 盘费
ppfc 仆仆风尘
ppff 平平凡凡
ppfn 盘发
ppfo 盘符
ppfs 彷佛
ppfz 品牌服装
ppg' 拍屁股走人
ppg; 琵琶骨
ppgf 盘根
ppgg 瓶瓶罐罐 盆盆罐罐
ppgh 盘古
ppgi 盘亘
ppgj 爬挂
ppgl 品牌管理
ppgo 爬竿
ppgp 膀胱
ppgr 爬高
ppgs 品牌公司
ppgy 凭票供应
ppgz 翩翩公子
pph' 飘飘何所似 批评和自我批评
pph; 品牌化
pphc 盘活
pphd 爬回
pphf 胖虎 盘桓
pphh 平平和和
pphk 盘划
pphm 爬灰
ppho 盘簧
pphp 徘徊 彷徨 盘后
pphs 膨化
pphw 脾寒
ppi 胚
ppia 膨 脯 槃
ppio 磐
ppj; 品牌机 批评家 批判家
ppja 盘踞
ppjc 批判继承
ppje 盘诘
ppjj 平平静静
ppjl 爬进
ppjn 爬架
ppjs 品牌建设
ppjv 脾经
ppjw 盘究 鹏举
ppjy 盘锦
ppjz 品牌价值
ppk' 泡泡口香糖
ppka 盘口
ppkf 品牌开发
ppkh 朋克
ppkj 盘扣
ppkl 盘亏
ppkr 盘库
ppkw 盘空
ppl; 评评理 泡泡龙 皮皮鲁
ppla 盘路
pplb 品牌列表
ppld 盘里
pplf 爬楼
pplg 盘落
pplj 爬来
ppll 破破烂烂 漂漂亮亮
pplm 盘龙
ppln 品牌理念
pplo 爬犁
pplp 胖脸
ppls 朋僚
pplx 胖了
ppm; 品牌名
ppma 胖吗
ppmc 爬满
ppmm 盘面 婆婆妈妈
ppmn 胖妹
ppmp 拍拍马屁
ppmx 枇杷门巷
ppn; 陪陪你
ppnh 胚囊
ppni 鹏鸟
ppnl 盘弄
ppnn 胖妞
ppns 盘你
ppnz 品牌女装
ppo 朋
ppoa 脾
ppoe 脬
ppou 鹏
ppp' 噼噼啪啪的
ppp; 啪啪啪
pppc 胚泡
pppg 拍拍屁股
pppp 胖胖
pppu 爬坡
pppy 盘片
ppq; 乒乓球
ppqc 品牌汽车
ppqd 盘曲
ppqf 盘棋
ppqg 乒乓球馆
ppqo 脾气
ppqp 乒乓球拍
ppqs 乒乓球赛
ppqu 爬起
ppqw 翩翩起舞 乒乓球网
ppqy 品牌企业
ppqz 乒乓球桌
ppr; 飘飘然
pprg 朋荣
pprs 胖人
ppru 胚乳
pprv 盘绕
pps' 潘帕斯草原
pps; 潘帕斯 拍拍手 泡泡纱 皮皮鳝
ppsa 脾肾
ppsb 盘刷
ppsd 爬山
ppse 鹏说
ppsf 爬上 盘上 爬树
ppsh 批判社会
ppsm 磐石
ppsn 胖嫂 翩翩少年
ppso 盘算 爬升 盘升
ppsr 胖瘦
ppss 脾俞
ppt; 泡泡糖 帕皮提 泡泡堂
pptc 品牌推出
pptd 磐田 批评态度
pptf 盘梯
pptg 爬藤 品牌推广
ppti 盘条
pptn 盘她
pptp 胚胎 盘腿
ppts 盘他
pptt 普普通通
pptu 脾土
pptw 盘它 盘头
pptx 盘陀
pptz 品牌童装
ppu 爬
ppvi 盘儿
ppvv 平平安安
ppvw 磐安
ppw; 拍拍网 泡泡网
ppwd 脾胃
ppwg 瓢泼瓦灌
ppwj 乒乓外交
ppwl 泼皮无赖
ppwn 胖娃
ppwq 盘问
ppww 平平稳稳
ppx' 偏偏喜欢你 批判现实主义
ppx; 批判性 皮皮虾 琵琶行
ppxc 胖熊
ppxd 盘县
ppxf 脾虚
ppxh 爬下
ppxm 品牌项目
ppxo 盘香
ppxp 爬行 盘膝 拍拍胸脯
ppxr 盘旋
