;; -*- coding:utf-8 -*-
[Comment]

[Parameter]
first-char=zyxwvutsrqponmlkjihgfedcba
total-char=;'abcdefghijklmnopqrstuvwxyz
lib=cyim-cy
page-length=8

[Punctuation]
{ 『
bdqd 不断取得 不定期地 北地区的 本地区的
bdqf 不得其法
bdqh 北大清华
bdqj 不断前进 不得其解
bdqk 变动情况
bdqn 北大青鸟
bdqq 崩阙
bdqr 不到七人
bdqs 不得其所
bdqx 北斗七星
bdqz 不得其志
bdr; 本地人 班德瑞 别的人 不打扰
bdrc 不但如此
bdrh 不带任何
bdrj 病毒软件
bdrk 不大认可
bdrl 贝瑞 不打扰了
bdrn 不得入内
bdrs 不动如山
bdrx 不得人心
bdry 不大容易
bdrz 不当人子
bds' 报得三春晖 别动手动脚 不都是为了 不都是一样 不到三个月 别的输入法 百度输入法 冰冻三尺非一日之寒
bds; 不打算 不懂事 不定时 不多说 不等式 本打算 表达式 比得上 变电所 保定市 被动式 不单是 不但是 报道说 不定式 必定是 巴豆霜 败毒散
bdsb 贝司
bdsc 冰冻三尺
bdse 败诉
bdsf 不大舒服
bdsg 贝莎
bdsh 贝斯
bdsi 贝氏
bdsj 罢手 贬损 败损 绑定手机 百度手机
bdsl 不多说了 别多说了 不大熟练
bdsm 崩碎 别的什么 病毒扫描 帮得上忙 必读书目
bdsp 贬所 百度视频
bdsq 别的事情
bdsr 罢市
bdss 崩伤 不动声色 饱读诗书 百度搜索 报道失实 不断上升 不得申诉 八点三十 八点四十
bdst 伴读书童
bdsv 贝丝
bdsw 罢赛
bdsy 不得少于 不得使用 不大适应
bdsz 不得善终
bdt' 半导体设备 半导体器件 半导体材料 比登天还难 半导体产业
bdt; 不对头 半导体 包打听 摆地摊 必答题 不等同 抱大腿
bdtb 败退
bdtc 拔得头筹
bdtd 不断推动
bdtg 不断提高
bdth 本地通话
bdtj 不断推进
bdtl 被打通了
bdtm 不懂他们
bdto 贝特
bdtp 崩脱 百度图片
bdts 不断提升
bdtu 崩塌
bdtw 宝岛台湾
bdtx 包打天下
bdty 不大同意
bdu 岜
bdv' 比窦娥还冤
bdv; 布迪厄 半点儿 必定有 标的额 爆肚儿 半道儿
bdvc 背道而驰
bdvd 被动挨打
bdvh 贬恶 不断恶化 变得恶化
bdvi 贝尔
bdvn 不得安宁
bdvq 拔地而起
bdvs 不得安生
bdvw 不得有误
bdvz 不得而知
bdw' 不到五个月
bdw; 不倒翁 本单位 不到位 标的物
bdwb 表达完毕
bdwd 败胃
bdwg 不到五个
bdwj 本地文件 病毒文件
bdwk 百度文库
bdwl 宝刀未老 不得无礼 本地网络 不得为了
bdwm 不懂我们
bdwo 蚌舞
bdwp 百度网盘
bdwr 败亡
bdws 不断完善
bdwt 贬为
bdww 不得违误
bdwy 本地唯一
bdwz 百代文宗
bdx' 病毒性疾病 把东西放好 把东西收好 病毒性肝炎 保兑信用证 病毒携带者
bdx; 别担心 北斗星 病毒性 被动性 不典型 比大小 不定向 布袋戏 扁担星
bdxb 赑屃
bdxe 败谢
bdxf 败相
